Title,Author,Published Year,ISBN,Age Range,Book Format,Current Price,Image
Ivar träffar en Tyrannosaurus,Lisa Bjärbo,2014,9789129694239,3-6,"inbunden, ",105 kr,https://s1.adlibris.com/images/12598947/ivar-traffar-en-tyrannosaurus.jpg
Gittan och älgbrorsorna,Pija Lindenbaum,2005,9789129661323,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/3592/gittan-och-algbrorsorna.jpg
Max och Maja. Det läskiga monstret,Axel Scheffler,2016,9789150117882,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/21841039/max-och-maja-det-laskiga-monstret.jpg
Meet Miss Molly,Katie Chadwick,2012,9781849611343,-,"häftad, ",6 kr,https://s2.adlibris.com/images/3876991/meet-miss-molly.jpg
När Findus var liten och försvann,Sven Nordqvist,2001,9789172709645,6-9,"inbunden, ",108 kr,https://s2.adlibris.com/images/3230/nar-findus-var-liten-och-forsvann.jpg
Kackel i grönsakslandet,Sven Nordqvist,1990,9789172705869,6-9,"inbunden, ",85 kr,https://s1.adlibris.com/images/3237/kackel-i-gronsakslandet.jpg
Här kommer rymdskeppet,Arne Norlin,2012,9789129681994,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/76760/har-kommer-rymdskeppet.jpg
Super-Charlie & lejonjakten,Camilla Läckberg,2016,9789176177754,3-6,"inbunden, ",57 kr,https://s1.adlibris.com/images/26883169/super-charlie-lejonjakten.jpg
Lord of Shadows,Cassandra Clare,2017,9781442468405,-,"inbunden, ",208 kr,https://s1.adlibris.com/images/25609090/lord-of-shadows.jpg
Varför då?,Anna-Clara Tidholm,1994,9789177123958,0-3,"inbunden, ",61 kr,https://s1.adlibris.com/images/5455/varfor-da.jpg
Mix kör,Malin Lilja,2016,9789188347022,0-3,"inbunden, ",114 kr,https://s1.adlibris.com/images/24154277/mix-kor.jpg
Samlade sagor om den underbara familjen Kanin,Jonna Björnstjerna,2013,9789163874543,3-6,"inbunden, ",114 kr,https://s2.adlibris.com/images/11258/samlade-sagor-om-den-underbara-familjen-kanin.jpg
Pelle Svanslös börjar skolan,Gösta Knutsson,2017,9789163894824,3-6,"inbunden, ",54 kr,https://s2.adlibris.com/images/29253525/pelle-svanslos-borjar-skolan.jpg
Min stora ordbok med bilder,Mairi Mackinnon,2014,9789174018356,0-3,"inbunden, ",96 kr,https://s1.adlibris.com/images/2684507/min-stora-ordbok-med-bilder.jpg
Mamma Mu klättrar i träd,Jujja Wieslander,2005,9789127105157,3-6,"inbunden, ",89 kr,https://s1.adlibris.com/images/61684/mamma-mu-klattrar-i-trad.jpg
Pelle i djungeln,Jan Lööf,2014,9789163877551,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/432862/pelle-i-djungeln.jpg
Mamma Mu klättrar i träd,Jujja Wieslander,2016,9789129704761,-,"Ljudbok, ",69 kr,https://s1.adlibris.com/images/28305399/mamma-mu-klattrar-i-trad.jpg
Zogg den lilla draken,Julia Donaldson,2016,9789150119015,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/23595292/zogg-den-lilla-draken.jpg
Vilda bebin får en hund,Barbro Lindgren,1994,9789129629439,3-6,"kartonnage, ",61 kr,https://s1.adlibris.com/images/149460/vilda-bebin-far-en-hund.jpg
Abborrens ränder,Stefan Casta,2017,9789172998971,3-6,"inbunden, ",54 kr,https://s1.adlibris.com/images/29249335/abborrens-rander.jpg
"Anden, Döden och Tulpanen",Wolf Erlbruch,2012,9789185311354,6-9,"inbunden, ",135 kr,https://s2.adlibris.com/images/328383/anden-doden-och-tulpanen.jpg
Filippa & morfar går på tivoli Litet format,Lasse Berghagen,2017,9789176178461,3-6,"inbunden, ",55 kr,https://s2.adlibris.com/images/29337724/filippa-morfar-gar-pa-tivoli-litet-format.jpg
Mamma Mu bygger,Jujja Wieslander,2014,9789129696127,-,"Ljudbok, ",69 kr,https://s2.adlibris.com/images/13687730/mamma-mu-bygger.jpg
Majas alfabet,Lena Anderson,1988,9789129566314,6-9,"kartonnage, ",108 kr,https://s1.adlibris.com/images/459/majas-alfabet.jpg
Klappa händerna när du är riktigt glad!,-,2016,9789176176863,0-3,"board book, ",61 kr,https://s2.adlibris.com/images/26478879/klappa-handerna-nar-du-ar-riktigt-glad.jpg
Bamse : Min första ABC-bok,-,2014,9789157026750,0-3,"board book, ",40 kr,https://s2.adlibris.com/images/8451886/bamse-min-forsta-abc-bok.jpg
Skorstensjul,Mårten Sandén,2015,9789129694970,3-6,"inbunden, ",153 kr,https://s2.adlibris.com/images/16728744/skorstensjul.jpg
Hur görs bebisar?,Cory Silverberg,2014,9789185845750,3-6,"inbunden, ",121 kr,https://s1.adlibris.com/images/11462195/hur-gors-bebisar.jpg
Sailor och Pekka gör ärenden på stan,Jockum Nordström,2013,9789129688849,3-6,"kartonnage, ",120 kr,https://s2.adlibris.com/images/110937/sailor-och-pekka-gor-arenden-pa-stan.jpg
Mamma Mu får ett sår,Jujja Wieslander,2006,9789127106093,3-6,"inbunden, ",89 kr,https://s2.adlibris.com/images/3270/mamma-mu-far-ett-sar.jpg
Godnatt alla djur,Lena Arro,2002,9789129655742,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/5932/godnatt-alla-djur.jpg
Pixibox: Ingrid och Ivar,Katerina Janouch,2016,9789163887598,0-3,"häftad, ",96 kr,https://s1.adlibris.com/images/24990806/pixibox-ingrid-och-ivar.jpg
